# Time-averaged data for fix printave
# TimeStep v_temp v_etotal v_enthalpy v_density v_press v_vol v_pe
1000 77.0485 -9.66397 -9.6635 0.934759 1.02512 256024 -9.89361
2000 76.9455 -9.66479 -9.66467 0.934704 0.280867 256039 -9.89412
3000 77.0374 -9.66448 -9.66367 0.934845 1.76979 256001 -9.89408
4000 77.0019 -9.66453 -9.66422 0.934891 0.681236 255988 -9.89403
5000 76.9812 -9.66484 -9.66354 0.934949 2.81686 255972 -9.89427
6000 76.9567 -9.6649 -9.66377 0.935017 2.46379 255953 -9.89426
7000 76.9352 -9.66489 -9.66378 0.934819 2.43185 256008 -9.89419
8000 76.8606 -9.66557 -9.66325 0.93474 5.01097 256029 -9.89465
9000 77.1649 -9.66362 -9.66127 0.934659 5.06708 256052 -9.89361
10000 76.8757 -9.66566 -9.66372 0.934808 4.21881 256011 -9.89478
11000 77.009 -9.66455 -9.66225 0.934792 4.96579 256015 -9.89407
12000 77.0888 -9.66407 -9.66152 0.934748 5.50517 256027 -9.89383
13000 76.8854 -9.6654 -9.66276 0.934806 5.66635 256011 -9.89455
14000 76.957 -9.66505 -9.66155 0.934873 7.51319 255993 -9.89441
15000 76.8971 -9.66505 -9.66208 0.934877 6.38168 255992 -9.89424
16000 77.0115 -9.6642 -9.6606 0.934856 7.77178 255998 -9.89373
17000 76.8625 -9.6655 -9.66166 0.934918 8.26801 255981 -9.89459
18000 77.0615 -9.66397 -9.65987 0.934918 8.82778 255981 -9.89364
19000 77.0186 -9.66434 -9.65936 0.934909 10.7291 255983 -9.89389
20000 76.9313 -9.66473 -9.66068 0.934893 8.71981 255988 -9.89402
21000 76.9899 -9.66464 -9.66015 0.935123 9.66924 255925 -9.89411
22000 77.1151 -9.66397 -9.6587 0.935006 11.3407 255957 -9.89381
23000 77.0389 -9.6645 -9.65892 0.935109 11.9955 255928 -9.89411
24000 77.0901 -9.66405 -9.6588 0.935053 11.284 255944 -9.89381
25000 77.0513 -9.66433 -9.65826 0.93506 13.0722 255942 -9.89398
26000 77.0641 -9.66375 -9.65824 0.935104 11.8553 255930 -9.89343
27000 76.9611 -9.66464 -9.65847 0.93506 13.2615 255942 -9.89402
28000 76.9076 -9.66489 -9.65866 0.935148 13.3927 255918 -9.89411
29000 77.1264 -9.66334 -9.6564 0.935224 14.9342 255897 -9.89321
30000 77.1619 -9.66309 -9.65657 0.935133 13.9976 255922 -9.89306
31000 77.0943 -9.66332 -9.65638 0.93495 14.9337 255972 -9.8931
32000 76.9544 -9.66423 -9.65673 0.934924 16.1099 255979 -9.89359
33000 77.0178 -9.66422 -9.65666 0.934931 16.2443 255977 -9.89377
34000 76.9385 -9.66462 -9.65663 0.93514 17.1908 255920 -9.89393
35000 76.9387 -9.66457 -9.65647 0.935016 17.4057 255954 -9.89388
36000 76.7747 -9.66539 -9.657 0.934992 17.9969 255961 -9.89421
37000 76.9334 -9.66508 -9.65658 0.935017 18.2661 255954 -9.89437
38000 77.0391 -9.66433 -9.65538 0.93518 19.2345 255909 -9.89394
39000 76.9495 -9.66463 -9.65614 0.935175 18.2431 255910 -9.89397
40000 77.2132 -9.66333 -9.65396 0.935104 20.1455 255930 -9.89346
41000 76.9603 -9.66458 -9.6553 0.935193 19.9524 255905 -9.89396
42000 76.93 -9.66513 -9.65541 0.935173 20.8675 255911 -9.89442
43000 76.921 -9.66516 -9.65545 0.935154 20.8354 255916 -9.89442
44000 77.0587 -9.6642 -9.65413 0.935095 21.6301 255932 -9.89387
45000 77.1312 -9.66367 -9.65316 0.935019 22.5605 255953 -9.89356
46000 77.0101 -9.66445 -9.65398 0.934997 22.4625 255959 -9.89397
47000 76.9285 -9.66512 -9.65442 0.935103 23.0039 255930 -9.89441
48000 77.0203 -9.66472 -9.65324 0.935017 24.6324 255953 -9.89428
49000 77.062 -9.6642 -9.65271 0.935139 24.6637 255920 -9.89388
50000 77.0768 -9.66401 -9.653 0.935129 23.6523 255923 -9.89373
51000 77.0055 -9.66438 -9.65241 0.935177 25.7208 255910 -9.89389
52000 76.918 -9.66495 -9.65296 0.935108 25.7378 255929 -9.8942
53000 77.0725 -9.66444 -9.65261 0.935072 25.4045 255939 -9.89415
54000 76.9226 -9.66524 -9.65248 0.935198 27.3837 255904 -9.8945
55000 77.0446 -9.66455 -9.65196 0.935158 27.0359 255915 -9.89418
56000 76.8979 -9.66554 -9.65231 0.935162 28.4297 255914 -9.89473
57000 77.1724 -9.66383 -9.65079 0.935092 27.9802 255933 -9.89384
58000 76.9682 -9.66495 -9.65155 0.935272 28.7671 255884 -9.89435
59000 76.9178 -9.66547 -9.65171 0.935342 29.515 255865 -9.89472
60000 77.1184 -9.66414 -9.65045 0.935325 29.392 255869 -9.89399
61000 77.0745 -9.66445 -9.65058 0.935357 29.7667 255860 -9.89417
62000 76.9514 -9.66533 -9.65067 0.935487 31.4822 255825 -9.89468
63000 77.0148 -9.66482 -9.65047 0.935409 30.7948 255846 -9.89435
64000 76.9618 -9.66504 -9.65041 0.935402 31.377 255848 -9.89442
65000 77.0887 -9.66422 -9.64906 0.935204 32.5378 255902 -9.89398
