# Time-averaged data for fix printave
# TimeStep v_temp v_etotal v_enthalpy v_density v_press v_vol v_pe
1000 77.0491 -9.18765 -5.19625 1.31158 11999.3 182467 -9.41729
2000 76.884 -9.18888 -5.19752 1.3116 11999.4 182465 -9.41803
3000 77.2578 -9.18655 -5.19517 1.31156 11999.1 182470 -9.41681
4000 77.1326 -9.18724 -5.1968 1.31171 11997.6 182450 -9.41713
5000 76.893 -9.18785 -5.19772 1.31185 11997.9 182430 -9.41703
6000 77.0677 -9.18676 -5.19615 1.31171 11998.1 182450 -9.41646
7000 77.0828 -9.1868 -5.19638 1.31168 11997.2 182454 -9.41654
8000 76.9128 -9.18851 -5.19779 1.31149 11996.4 182481 -9.41775
9000 76.8741 -9.18942 -5.19939 1.31148 11994.2 182482 -9.41854
10000 76.9187 -9.18853 -5.19785 1.31154 11996.8 182473 -9.41778
11000 76.9624 -9.18843 -5.19857 1.31147 11993.6 182483 -9.41781
12000 76.8752 -9.18854 -5.19877 1.31155 11994.2 182472 -9.41766
13000 77.0872 -9.18796 -5.19826 1.31147 11993.2 182483 -9.41772
14000 76.8993 -9.1884 -5.19883 1.31164 11994.3 182459 -9.41759
15000 77.0836 -9.18779 -5.1991 1.3117 11992.2 182452 -9.41753
16000 76.9139 -9.1884 -5.19928 1.31163 11992.9 182461 -9.41764
17000 76.9434 -9.18922 -5.20018 1.31153 11991.8 182474 -9.41854
18000 76.9511 -9.18961 -5.20051 1.31145 11991.2 182485 -9.41895
19000 76.8858 -9.18967 -5.2007 1.3114 11990.3 182493 -9.41883
20000 77.0069 -9.18827 -5.19943 1.31132 11989.2 182504 -9.41778
21000 77.0473 -9.18894 -5.19954 1.3113 11990.7 182506 -9.41858
22000 76.9477 -9.18922 -5.20112 1.31144 11988 182488 -9.41855
23000 77.0524 -9.18882 -5.19946 1.31122 11989.9 182518 -9.41847
24000 76.9679 -9.18752 -5.19936 1.31151 11988.9 182477 -9.41692
25000 77.0729 -9.1872 -5.19917 1.31138 11987.4 182495 -9.41691
