# Time-averaged data for fix printave
# TimeStep v_temp v_strain v_sigmayy v_sigmazz v_sigmayz v_etotal v_pe v_ke v_enthalpy v_density v_press
0 77 0 -0.267895 -0.233241 0.000571453 -74574.9 -76410.9 1835.95 -67544.4 1.20726 2431.8
1 77.3709 0 -0.271436 -0.239018 0.000727485 -74573.4 -76418.2 1844.79 -67406.8 1.20753 2479.44
2 77.791 0.005 -0.283757 -0.256384 0.0629151 -74564 -76418.8 1854.81 -66975.6 1.20835 2627.16
3 78.2116 0.01 -0.305496 -0.284451 0.12394 -74542.3 -76407.1 1864.84 -66253.8 1.20967 2872.65
4 78.6024 0.015 -0.334397 -0.320661 0.1841 -74507.9 -76382.1 1874.16 -65304 1.21144 3194.6
5 78.9467 0.02 -0.368093 -0.36315 0.242695 -74460.8 -76343.2 1882.37 -64185 1.21358 3572.96
6 79.2656 0.025 -0.407139 -0.411224 0.299865 -74401.4 -76291.4 1889.97 -62906.1 1.21598 4004.9
7 79.6307 0.03 -0.450284 -0.462556 0.354694 -74330.3 -76228.9 1898.67 -61517.2 1.21854 4473.38
8 80.1179 0.035 -0.494298 -0.515486 0.406827 -74249.2 -76159.5 1910.29 -60090.8 1.22111 4953.5
9 80.784 0.04 -0.536577 -0.566122 0.455216 -74160.1 -76086.2 1926.17 -58707.2 1.22356 5417.24
10 81.6682 0.045 -0.574638 -0.611158 0.499385 -74065.6 -76012.8 1947.26 -57461.9 1.22579 5831.3
11 82.7677 0.05 -0.605249 -0.64877 0.540163 -73968.5 -75942 1973.47 -56429.4 1.2277 6169.4
12 84.0563 0.055 -0.629126 -0.678701 0.57719 -73871 -75875.2 2004.2 -55601.3 1.22923 6434.42
13 85.4742 0.06 -0.64496 -0.701435 0.612254 -73775 -75813 2038 -54987 1.23036 6623.03
14 86.9143 0.065 -0.654763 -0.71608 0.64445 -73681.4 -75753.7 2072.34 -54561.9 1.23107 6743.74
15 88.2673 0.07 -0.658173 -0.721128 0.673166 -73590.6 -75695.2 2104.6 -54355.5 1.23136 6786.15
16 89.4503 0.075 -0.656708 -0.718419 0.698161 -73502.8 -75635.6 2132.81 -54320.7 1.23127 6766.95
17 90.4383 0.08 -0.649957 -0.709226 0.719567 -73417.5 -75573.9 2156.37 -54442.7 1.23082 6691.36
18 91.2681 0.085 -0.638994 -0.693697 0.738274 -73334.4 -75510.5 2176.15 -54710.3 1.23005 6563.58
19 91.9885 0.09 -0.62197 -0.672267 0.754245 -73252.5 -75445.9 2193.33 -55139.5 1.229 6378.04
20 92.6421 0.095 -0.59997 -0.646118 0.767942 -73171.5 -75380.4 2208.91 -55695 1.22774 6147.58
21 93.2528 0.1 -0.574549 -0.617314 0.780191 -73090.5 -75314 2223.47 -56344.3 1.22631 5883.84
22 93.8182 0.105 -0.546618 -0.585959 0.791454 -73008.8 -75245.7 2236.96 -57069.7 1.22479 5593.31
