# Time-averaged data for fix printave
# TimeStep v_temp v_strain v_sigmayy v_sigmazz v_sigmayz v_etotal v_pe v_ke v_enthalpy v_density v_press
1000 76.9768 0.00025 1.86771e-05 -7.01134e-05 0.00675535 -77312.9 -79148.3 1835.4 -77313 0.934854 -0.00782064
2000 77.0896 0.00075 1.20919e-05 0.000221381 0.00655495 -77310.8 -79148.9 1838.09 -77314.2 0.934746 -0.882174
3000 76.9493 0.00125 -1.36462e-05 -0.0001785 0.00795923 -77314.9 -79149.6 1834.74 -77311.8 0.934856 0.872016
4000 76.9378 0.00175 -7.8743e-05 3.39176e-05 0.00843011 -77317.2 -79151.6 1834.47 -77318.6 0.934691 -0.344414
5000 76.9223 0.00225 -3.24527e-05 4.2036e-05 0.00980665 -77318.3 -79152.4 1834.1 -77315.2 0.934836 0.859714
6000 76.9935 0.00275 0.000115837 0.000161782 0.0113682 -77315.7 -79151.5 1835.79 -77320.9 0.934783 -1.35908
7000 76.951 0.00325 7.74253e-06 -0.000143161 0.0130824 -77316.2 -79151 1834.78 -77314.9 0.934718 0.422897
8000 76.8468 0.00375 -3.73269e-05 -9.91788e-05 0.013936 -77322.4 -79154.7 1832.3 -77319.9 0.934615 0.72159
9000 76.9476 0.00425 5.24528e-05 5.84166e-06 0.0154335 -77314.3 -79149 1834.7 -77314.3 0.934735 0.0436946
10000 76.8404 0.00475 -0.000137492 5.46188e-05 0.0174094 -77322 -79154.2 1832.14 -77322.9 0.934753 -0.21491
11000 76.8847 0.00525 -0.000173093 7.0418e-05 0.0185444 -77317.4 -79150.6 1833.2 -77315.6 0.934704 0.529377
12000 76.9488 0.00575 0.000270715 -0.000134882 0.018513 -77313.8 -79148.5 1834.73 -77315.6 0.93484 -0.448427
13000 76.8865 0.00625 -5.58028e-05 5.2656e-05 0.0193319 -77318.1 -79151.4 1833.24 -77316.7 0.934766 0.435018
14000 77.0665 0.00675 -4.56204e-05 0.000134812 0.0209445 -77308.3 -79145.8 1837.53 -77312.6 0.934667 -1.12762
15000 77.0198 0.00725 9.0065e-05 -1.54287e-05 0.0222304 -77311.3 -79147.7 1836.42 -77312.4 0.934707 -0.252726
16000 76.8227 0.00775 -3.43291e-05 -7.74046e-06 0.0252001 -77319.6 -79151.4 1831.72 -77319.1 0.934776 0.206006
17000 77.0746 0.00825 1.54163e-05 -6.33755e-05 0.0266623 -77306 -79143.7 1837.73 -77304.7 0.934797 0.388719
18000 77.0401 0.00875 6.1022e-05 6.90592e-05 0.0262465 -77307.4 -79144.3 1836.9 -77308.4 0.934818 -0.190389
19000 77.0965 0.00925 -7.33871e-05 -5.57864e-06 0.027104 -77303.3 -79141.5 1838.25 -77303.6 0.934767 -0.0625927
20000 77.0414 0.00975 -0.000131332 -4.44655e-05 0.0292698 -77306 -79142.9 1836.94 -77301.8 0.93483 1.16886
21000 76.965 0.01025 8.62814e-05 2.44948e-05 0.0314491 -77308.1 -79143.3 1835.12 -77311.6 0.934873 -0.8805
22000 76.9507 0.01075 8.67975e-05 2.63143e-05 0.0339814 -77305.6 -79140.3 1834.77 -77307.1 0.934929 -0.393453
23000 76.9494 0.01125 -3.06391e-05 1.53064e-05 0.0359047 -77306.4 -79141.1 1834.74 -77307.3 0.934876 -0.18369
24000 77.0574 0.01175 9.25667e-05 -6.75994e-05 0.0371514 -77301.3 -79138.6 1837.32 -77300.4 0.934874 0.296136
25000 77.0739 0.01225 -0.000105321 0.000118389 0.0379684 -77300.9 -79138.6 1837.71 -77302.1 0.934795 -0.264254
26000 77.0311 0.01275 4.35832e-05 -5.96791e-05 0.0387243 -77303.7 -79140.4 1836.69 -77301.7 0.9348 0.582135
27000 76.8489 0.01325 0.000180833 -0.000211883 0.0408664 -77312.3 -79144.7 1832.35 -77312.9 0.934834 -0.1335
28000 76.8655 0.01375 -0.000159229 6.77291e-05 0.041892 -77310.7 -79143.5 1832.74 -77309.4 0.934971 0.397657
29000 77.0803 0.01425 -0.000130343 4.69029e-05 0.0427668 -77295.2 -79133.1 1837.86 -77294.8 0.934983 0.162543
30000 76.9617 0.01475 -1.45416e-05 9.43516e-05 0.0451457 -77299 -79134 1835.04 -77299.1 0.935081 0.0348184
31000 76.9475 0.01525 6.87456e-05 6.80903e-05 0.045235 -77299.3 -79134 1834.7 -77301.1 0.935007 -0.463171
32000 76.9534 0.01575 0.000125817 -0.000114122 0.0474865 -77298.6 -79133.4 1834.84 -77300.6 0.934959 -0.500386
33000 77.0737 0.01625 -7.93277e-05 -5.03165e-05 0.0476913 -77292.8 -79130.5 1837.71 -77290.5 0.935025 0.675086
34000 77.0229 0.01675 7.56942e-05 0.000146113 0.0492127 -77293 -79129.5 1836.49 -77295.9 0.935099 -0.736429
35000 77.0631 0.01725 -0.00028625 -3.6553e-05 0.0506884 -77290.1 -79127.6 1837.45 -77286.3 0.935015 1.06971
36000 77.0771 0.01775 0.000258909 4.06165e-05 0.0528718 -77291.1 -79128.9 1837.79 -77295.8 0.934883 -1.16787
37000 76.999 0.01825 -2.33473e-05 -3.38112e-05 0.0534225 -77293.5 -79129.5 1835.93 -77293.5 0.934962 0.0517673
38000 76.8969 0.01875 -8.28232e-05 4.74898e-05 0.0544912 -77302.1 -79135.6 1833.49 -77301.3 0.935011 0.246579
39000 76.9755 0.01925 3.78446e-05 -5.17834e-05 0.0545074 -77296.1 -79131.5 1835.37 -77294.6 0.935016 0.444114
40000 76.9585 0.01975 -3.83444e-05 9.32065e-05 0.055897 -77293 -79128 1834.96 -77294 0.935075 -0.237196
41000 76.9029 0.02025 -4.29371e-05 -0.000153131 0.0575275 -77290.6 -79124.2 1833.63 -77288.6 0.935184 0.557218
42000 76.9349 0.02075 9.53964e-05 0.000107744 0.0581208 -77287.3 -79121.7 1834.4 -77290 0.935196 -0.681484
43000 77.1797 0.02125 -4.90107e-05 -5.03588e-05 0.0596362 -77275.6 -79115.8 1840.23 -77275.5 0.935215 0.0553135
44000 77.0515 0.02175 -1.25525e-05 -2.90005e-05 0.0608413 -77281.3 -79118.5 1837.18 -77280.1 0.935239 0.35512
45000 76.9892 0.02225 -0.000133158 -0.000102989 0.0623452 -77284.5 -79120.2 1835.69 -77281 0.935216 0.991312
46000 76.9804 0.02275 0.000158193 0.000180749 0.0648011 -77284.8 -79120.3 1835.48 -77287.7 0.935123 -0.726246
47000 77.031 0.02325 1.00195e-05 -0.000183184 0.0662841 -77280.7 -79117.4 1836.69 -77281.7 0.935017 -0.24004
48000 77.0134 0.02375 -6.55281e-05 0.000210006 0.0661869 -77279 -79115.2 1836.27 -77278.6 0.934994 0.18865
49000 76.9541 0.02425 -2.23692e-05 -4.24501e-05 0.0673416 -77281.8 -79116.7 1834.86 -77280 0.935033 0.547797
50000 76.8758 0.02475 0.00018484 1.94765e-05 0.0673279 -77283.8 -79116.8 1832.99 -77289.5 0.935178 -1.49054
51000 77.1201 0.02525 -1.59554e-05 -0.000137698 0.0699825 -77269.7 -79108.5 1838.81 -77266.5 0.935113 0.938016
52000 76.9682 0.02575 -0.000195634 -2.37455e-05 0.0725948 -77277.4 -79112.6 1835.19 -77276.7 0.935069 0.27421
53000 77.1856 0.02625 0.000110401 0.000240319 0.0743495 -77262.4 -79102.8 1840.37 -77267.4 0.935168 -1.28006
54000 76.9608 0.02675 -7.13327e-05 -9.88582e-05 0.0746784 -77275.5 -79110.5 1835.01 -77272.8 0.93522 0.761314
55000 77.0559 0.02725 0.000155354 -1.88529e-05 0.0748068 -77268.4 -79105.7 1837.28 -77269.1 0.935166 -0.141647
56000 77.1561 0.02775 2.68239e-05 1.34782e-05 0.0748711 -77262.3 -79102 1839.67 -77264.5 0.935156 -0.532676
57000 77.0114 0.02825 -8.30814e-05 -9.13446e-05 0.0769356 -77269.2 -79105.4 1836.22 -77268.4 0.935167 0.268975
58000 76.9377 0.02875 5.66464e-05 5.23715e-05 0.0796992 -77270.7 -79105.1 1834.46 -77270.7 0.935129 0.0337346
