# Time-averaged data for fix printave
# TimeStep v_temp v_strain v_sigmayy v_sigmazz v_sigmayz v_etotal v_pe v_ke v_enthalpy v_density v_press
1000 76.971 0.00025 -0.151937 -0.152011 0.00696746 -77320.7 -79155.9 1835.26 -71801.8 0.948773 1500.43
2000 76.9267 0.00075 -0.152032 -0.151906 0.00797936 -77322.5 -79156.7 1834.2 -71807.3 0.948816 1499.33
3000 76.9557 0.00125 -0.152058 -0.152021 0.00966642 -77321.6 -79156.5 1834.89 -71800.7 0.948833 1500.91
4000 76.9522 0.00175 -0.152039 -0.151982 0.00947263 -77322.6 -79157.4 1834.81 -71806.1 0.948894 1499.8
5000 77.0392 0.00225 -0.151721 -0.152022 0.0109307 -77320 -79156.9 1836.88 -71804.2 0.94887 1499.56
6000 76.9584 0.00275 -0.152195 -0.151965 0.0122013 -77323.6 -79158.6 1834.96 -71806.6 0.948988 1500.07
7000 77.0365 0.00325 -0.151857 -0.152058 0.0136939 -77319.8 -79156.6 1836.82 -71803.7 0.94896 1499.78
8000 77.0146 0.00375 -0.152087 -0.151932 0.0149519 -77317.8 -79154.1 1836.3 -71798.8 0.948987 1500.6
9000 76.9086 0.00425 -0.151959 -0.152119 0.0171893 -77322.2 -79156 1833.77 -71806.6 0.949006 1499.75
10000 76.9238 0.00475 -0.151904 -0.151952 0.019481 -77319.7 -79153.9 1834.13 -71801.2 0.949105 1500.7
11000 76.9845 0.00525 -0.152004 -0.15204 0.0193633 -77317.1 -79152.6 1835.58 -71802.1 0.94899 1499.56
12000 77.0319 0.00575 -0.152079 -0.152018 0.0198441 -77314.8 -79151.5 1836.71 -71796.2 0.948977 1500.56
13000 77.0592 0.00625 -0.15188 -0.151735 0.0214567 -77312.6 -79150 1837.36 -71800.8 0.949039 1498.75
14000 77.0374 0.00675 -0.151936 -0.152096 0.0220185 -77313.6 -79150.4 1836.84 -71796.6 0.949125 1500.32
15000 77.0797 0.00725 -0.151836 -0.152083 0.0238352 -77311.7 -79149.6 1837.85 -71796.5 0.949154 1499.89
16000 77.0039 0.00775 -0.152088 -0.151977 0.0255841 -77312.8 -79148.9 1836.04 -71798.3 0.949232 1499.81
17000 77.0289 0.00825 -0.152022 -0.151952 0.02691 -77312.7 -79149.3 1836.64 -71798.3 0.94927 1499.83
18000 77.0858 0.00875 -0.152113 -0.152058 0.0269451 -77309.9 -79147.9 1837.99 -71791.6 0.94924 1500.84
19000 77.0349 0.00925 -0.151916 -0.152006 0.0280146 -77311.3 -79148.1 1836.78 -71796.6 0.9493 1499.99
20000 77.0405 0.00975 -0.152042 -0.151831 0.0291653 -77313.2 -79150.1 1836.91 -71798.6 0.949166 1499.69
21000 77.1431 0.01025 -0.152037 -0.151959 0.031123 -77305.4 -79144.8 1839.36 -71788.7 0.94917 1500.3
22000 77.0543 0.01075 -0.152044 -0.1521 0.031234 -77308.5 -79145.7 1837.24 -71790.9 0.949264 1500.66
23000 77.003 0.01125 -0.151949 -0.151944 0.0312843 -77308.2 -79144.3 1836.02 -71792 0.949201 1500.23
24000 77.0974 0.01175 -0.151847 -0.152106 0.0337244 -77308.2 -79146.4 1838.27 -71794.5 0.949169 1499.48
25000 77.0199 0.01225 -0.15211 -0.151864 0.0350996 -77310.9 -79147.3 1836.42 -71794.8 0.949202 1500.2
26000 76.9119 0.01275 -0.152047 -0.152049 0.0369891 -77314.7 -79148.5 1833.85 -71799.7 0.949243 1499.93
27000 76.9553 0.01325 -0.151917 -0.151886 0.0372697 -77312.5 -79147.4 1834.88 -71798.3 0.949113 1499.54
28000 76.8453 0.01375 -0.152036 -0.151973 0.0394921 -77316.3 -79148.6 1832.26 -71800.9 0.949164 1499.94
29000 76.9594 0.01425 -0.151838 -0.152152 0.0411066 -77309.3 -79144.3 1834.98 -71792.5 0.949093 1500.22
30000 77.0652 0.01475 -0.152026 -0.15203 0.0427043 -77302.9 -79140.4 1837.5 -71786.7 0.949124 1500.09
31000 77.0176 0.01525 -0.151845 -0.151948 0.0434934 -77306.8 -79143.2 1836.37 -71793.4 0.94917 1499.37
32000 77.053 0.01575 -0.152062 -0.151923 0.0454711 -77303.3 -79140.5 1837.21 -71787.2 0.949131 1500.11
33000 77.1283 0.01625 -0.152089 -0.151899 0.0459898 -77298.3 -79137.3 1839.01 -71781.9 0.949136 1500.17
34000 77.0648 0.01675 -0.152101 -0.152223 0.0467282 -77297.4 -79134.9 1837.49 -71778.4 0.949346 1501.22
35000 76.9877 0.01725 -0.151799 -0.151938 0.047403 -77300.7 -79136.4 1835.66 -71788.2 0.949238 1499.29
36000 76.9695 0.01775 -0.152044 -0.151966 0.0491618 -77301.5 -79136.7 1835.22 -71786.2 0.949342 1500.17
37000 77.0171 0.01825 -0.152038 -0.152029 0.0510011 -77300.3 -79136.6 1836.36 -71785.4 0.949306 1500.01
38000 77.0009 0.01875 -0.151881 -0.151923 0.0533935 -77300.1 -79136.1 1835.97 -71786.4 0.949248 1499.61
39000 77.0516 0.01925 -0.152184 -0.151898 0.0542283 -77295.5 -79132.7 1837.18 -71779.3 0.949282 1500.36
40000 76.9218 0.01975 -0.15193 -0.152208 0.0549709 -77300.3 -79134.4 1834.08 -71784.2 0.949204 1500.2
41000 77.004 0.02025 -0.152033 -0.151811 0.0569164 -77294.4 -79130.4 1836.05 -71781.9 0.949398 1499.5
42000 77.1043 0.02075 -0.151874 -0.152203 0.0589951 -77288 -79126.5 1838.44 -71772.6 0.949369 1500.29
43000 77.0887 0.02125 -0.152049 -0.151832 0.0605383 -77288.8 -79126.8 1838.06 -71771.9 0.949237 1500.45
44000 76.9313 0.02175 -0.152107 -0.152071 0.0599496 -77294.6 -79128.9 1834.31 -71776.9 0.949294 1500.79
45000 76.952 0.02225 -0.15178 -0.152067 0.0595451 -77292.8 -79127.6 1834.81 -71782.3 0.949303 1498.87
46000 77.0631 0.02275 -0.152206 -0.151835 0.0604816 -77286.4 -79123.9 1837.45 -71770 0.949307 1500.43
47000 77.0955 0.02325 -0.151772 -0.152042 0.0627054 -77283.1 -79121.4 1838.23 -71770.2 0.949202 1499.3
48000 77.0847 0.02375 -0.152119 -0.151924 0.0632109 -77282.8 -79120.8 1837.97 -71765.6 0.94926 1500.58
49000 77.0838 0.02425 -0.151852 -0.152085 0.0644082 -77281.1 -79119.1 1837.95 -71767 0.949411 1499.97
50000 77.1299 0.02475 -0.151976 -0.151935 0.0648519 -77276.3 -79115.3 1839.05 -71764.5 0.949451 1499.4
51000 76.9961 0.02525 -0.15207 -0.151902 0.0660997 -77282.5 -79118.3 1835.86 -71768.7 0.949345 1499.82
52000 77.0041 0.02575 -0.15204 -0.151995 0.0679277 -77278.1 -79114.1 1836.05 -71762 0.94943 1500.56
53000 77.0699 0.02625 -0.152005 -0.1519 0.0702605 -77273.5 -79111.1 1837.62 -71760.8 0.949464 1499.69
54000 76.947 0.02675 -0.152066 -0.152199 0.0710102 -77278.6 -79113.2 1834.69 -71762.5 0.949463 1500.6
55000 76.9136 0.02725 -0.151878 -0.151879 0.0724122 -77280.7 -79114.6 1833.89 -71767.2 0.949506 1499.95
56000 77.1107 0.02775 -0.152084 -0.152077 0.0737844 -77266.3 -79104.9 1838.59 -71751.6 0.949532 1500.32
57000 76.9297 0.02825 -0.151982 -0.151914 0.0749591 -77273.2 -79107.5 1834.27 -71763 0.949567 1499.17
58000 76.9403 0.02875 -0.151875 -0.152086 0.075577 -77274.5 -79109 1834.53 -71760.7 0.949686 1500.33
59000 76.9961 0.02925 -0.152002 -0.152017 0.0779462 -77273.5 -79109.3 1835.86 -71756.5 0.949519 1500.94
60000 77.1798 0.02975 -0.151935 -0.151994 0.0793456 -77261.2 -79101.5 1840.24 -71752 0.949602 1498.97
61000 76.9868 0.03025 -0.152094 -0.151734 0.0814644 -77267.9 -79103.6 1835.63 -71756.9 0.949654 1499.52
62000 77.0579 0.03075 -0.151947 -0.15228 0.0831392 -77264.9 -79102.3 1837.33 -71748.7 0.949673 1500.99
63000 76.8965 0.03125 -0.152145 -0.152026 0.0839656 -77270.8 -79104.3 1833.48 -71756.9 0.949844 1500.62
64000 77.0357 0.03175 -0.151795 -0.151795 0.0856314 -77259.5 -79096.3 1836.8 -71751.9 0.949801 1498.81
65000 76.9883 0.03225 -0.151881 -0.152123 0.0873408 -77261 -79096.7 1835.67 -71748.7 0.949775 1500.07
66000 76.9881 0.03275 -0.152221 -0.152105 0.08754 -77258.9 -79094.6 1835.67 -71742.1 0.949877 1501.48
67000 76.9971 0.03325 -0.151777 -0.151998 0.0888297 -77255.6 -79091.5 1835.88 -71748.7 0.949806 1498.67
68000 76.9669 0.03375 -0.1521 -0.151812 0.0908126 -77255.7 -79090.8 1835.16 -71742.7 0.949859 1500.38
69000 76.9088 0.03425 -0.152041 -0.151901 0.0913913 -77256.5 -79090.3 1833.77 -71745.9 0.949977 1499.92
70000 77.017 0.03475 -0.151867 -0.152122 0.0925893 -77251.2 -79087.5 1836.35 -71740.4 0.949846 1499.76
71000 77.0597 0.03525 -0.152232 -0.152187 0.0926946 -77246.1 -79083.4 1837.37 -71729.3 0.949774 1501.27
72000 77.2013 0.03575 -0.151713 -0.151895 0.093563 -77237.5 -79078.3 1840.75 -71729.9 0.949775 1498.77
73000 77.078 0.03625 -0.152206 -0.151809 0.0954324 -77242.1 -79079.9 1837.81 -71728 0.949868 1500.72
74000 76.9993 0.03675 -0.151845 -0.15202 0.0970673 -77243.5 -79079.5 1835.93 -71734.1 0.949971 1499.59
75000 76.9802 0.03725 -0.151879 -0.15214 0.0993687 -77242.1 -79077.6 1835.48 -71732.5 0.949966 1499.63
76000 77.1591 0.03775 -0.152136 -0.151797 0.100305 -77233 -79072.8 1839.74 -71721.7 0.949797 1499.85
77000 76.8844 0.03825 -0.152022 -0.151984 0.101094 -77244.1 -79077.3 1833.19 -71732.3 0.949909 1500.13
78000 76.8861 0.03875 -0.151993 -0.152033 0.10209 -77242 -79075.2 1833.23 -71728.6 0.949948 1500.6
79000 76.901 0.03925 -0.152028 -0.152033 0.102261 -77240.4 -79074 1833.59 -71728.5 0.949942 1500.23
80000 76.9136 0.03975 -0.151926 -0.151878 0.103545 -77238 -79071.9 1833.89 -71730.5 0.949995 1499.08
81000 77.0052 0.04025 -0.152069 -0.152097 0.104818 -77230.3 -79066.3 1836.07 -71718.7 0.950144 1500.42
82000 77.0425 0.04075 -0.151905 -0.152106 0.106061 -77225.1 -79062 1836.96 -71714.6 0.950193 1500.23
83000 76.8148 0.04125 -0.152056 -0.151848 0.107063 -77236.5 -79068.1 1831.53 -71724.3 0.950018 1500.4
84000 76.9788 0.04175 -0.151853 -0.152061 0.107829 -77226.5 -79061.9 1835.44 -71719.6 0.950131 1499.13
85000 77.0211 0.04225 -0.152189 -0.151885 0.10912 -77221.1 -79057.5 1836.45 -71709.1 0.950181 1500.61
